[train: 1, 3400 / 3750] FPS: 49.6 (49.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.72609  ,  Loss/giou: 0.65187  ,  Loss/l1: 0.08447  ,  IoU: 0.38773
[train: 1, 3450 / 3750] FPS: 49.6 (48.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.72393  ,  Loss/giou: 0.65118  ,  Loss/l1: 0.08431  ,  IoU: 0.38834
[train: 1, 3500 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.72185  ,  Loss/giou: 0.65054  ,  Loss/l1: 0.08415  ,  IoU: 0.38919
[train: 1, 3550 / 3750] FPS: 49.7 (46.6)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.71968  ,  Loss/giou: 0.64981  ,  Loss/l1: 0.08401  ,  IoU: 0.38936
[train: 1, 3600 / 3750] FPS: 49.7 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.71780  ,  Loss/giou: 0.64926  ,  Loss/l1: 0.08385  ,  IoU: 0.39039
[train: 1, 3650 / 3750] FPS: 49.7 (49.4)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.71537  ,  Loss/giou: 0.64838  ,  Loss/l1: 0.08372  ,  IoU: 0.39087
[train: 1, 3700 / 3750] FPS: 49.7 (50.2)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.71340  ,  Loss/giou: 0.64783  ,  Loss/l1: 0.08355  ,  IoU: 0.39189
[train: 1, 3750 / 3750] FPS: 49.7 (50.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.71172  ,  Loss/giou: 0.64729  ,  Loss/l1: 0.08343  ,  IoU: 0.39233
[train: 2, 50 / 3750] FPS: 45.9 (49.6)  ,  DataTime: 0.033 (0.006)  ,  ForwardTime: 0.310  ,  TotalTime: 0.349  ,  Loss/total: 1.64076  ,  Loss/giou: 0.62855  ,  Loss/l1: 0.07673  ,  IoU: 0.44889
[train: 2, 100 / 3750] FPS: 47.8 (49.9)  ,  DataTime: 0.020 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.335  ,  Loss/total: 1.58424  ,  Loss/giou: 0.60889  ,  Loss/l1: 0.07329  ,  IoU: 0.45593
[train: 2, 150 / 3750] FPS: 48.4 (49.4)  ,  DataTime: 0.016 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.330  ,  Loss/total: 1.56697  ,  Loss/giou: 0.60415  ,  Loss/l1: 0.07174  ,  IoU: 0.46247
[train: 2, 200 / 3750] FPS: 48.8 (49.9)  ,  DataTime: 0.014 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.328  ,  Loss/total: 1.57507  ,  Loss/giou: 0.60434  ,  Loss/l1: 0.07328  ,  IoU: 0.44889
